縣市別代碼,編號,所屬單位,安裝地址,攝影方向,經度,緯度
10001,LAAA001-01,大同分局 寧夏路派出所,民生西路231號,西,121.51399540000001,25.0563836
10001,LAAA002-01,大同分局 寧夏路派出所,民生西路257號,西,121.51322689999999,25.0568566
10001,LAAA003-01,大同分局 寧夏路派出所,寧夏路55號,東北,121.51561070000001,25.0575202
10001,LAAA004-01,大同分局 寧夏路派出所,興城街31號,南,121.51774999999998,25.0584419
10001,LAAA005-01,大同分局 寧夏路派出所,錦西街63號,北北西,121.51572789999997,25.0598469
10001,LAAA006-01,大同分局 寧夏路派出所,興城街36號,東,121.51729499999999,25.058854099999998
10001,LAAA008-01,大同分局 寧夏路派出所,民生西路171巷27號,南,121.51722319999998,25.0574291
10001,LAAA009-01,大同分局 寧夏路派出所,興城街75號,南,121.5173871,25.0593851
10001,LAAA010-01,大同分局 寧夏路派出所,寧夏路67號,東,121.51529239999999,25.058389899999998
10001,LAAA011-01,大同分局 寧夏路派出所,民權西路136號,南,121.51602960000001,25.062675199999997
10001,LAAA012-01,大同分局 寧夏路派出所,承德路2段與民權西路,北,121.51805180000001,25.061682200000003
10001,LAAA014-01,大同分局 寧夏路派出所,寧夏路55號,東北,121.51561070000001,25.0575202
10001,LAAA015-01,大同分局 寧夏路派出所,重慶北路2段171號,西北,121.51388539999998,25.0589241
10001,LAAA015-02,大同分局 寧夏路派出所,重慶北路2段171號,東,121.51388539999998,25.0589241
10001,LAAA016-01,大同分局 寧夏路派出所,民生西路49號,西,121.51779469999998,25.0573968
10001,LAAA017-01,大同分局 寧夏路派出所,興城街75號,西,121.5175181,25.059614699999997
10001,LAAA018-01,大同分局 寧夏路派出所,錦西街178號,西,121.515934,25.059713000000002
10001,LAAA018-02,大同分局 寧夏路派出所,錦西街178號,東,121.515934,25.059713000000002
10001,LAAA019-01,大同分局 寧夏路派出所,寧夏路77號,東南,121.515169,25.058606200000003
10001,LAAA020-01,大同分局 寧夏路派出所,承德路2段132號,南,121.51803509999999,25.0613641
10001,LAAA021-01,大同分局 寧夏路派出所,歸綏街88-1號,東,121.51444149999999,25.0582498
10001,LAAA022-01,大同分局 寧夏路派出所,歸綏街63號,西,121.51756139999999,25.059343100000003
10001,LAAA023-01,大同分局 寧夏路派出所,歸綏街83巷,北,121.5162075,25.0593305
10001,LAAA024-01,大同分局 寧夏路派出所,雙連街53巷28號,南,121.51943589999999,25.0598358
10001,LAAA025-01,大同分局 寧夏路派出所,民生西路63號,北,121.5201715,25.057708599999998
10001,LAAA026-01,大同分局 寧夏路派出所,萬全街42號,西,121.5199832,25.058548299999998
10001,LAAA026-02,大同分局 寧夏路派出所,萬全街42號,東,121.5200227,25.0585654
10001,LAAA027-01,大同分局 寧夏路派出所,承德路2段185號,東,121.51851339999999,25.0590862
10001,LAAA028-01,大同分局 寧夏路派出所,錦西街88號,東,121.51894659999999,25.060157399999998
10001,LAAA029-01,大同分局 寧夏路派出所,錦西街90號,南,121.518754,25.060149499999998
10001,LAAA030-01,大同分局 寧夏路派出所,雙連街2號,北,121.51917,25.058107999999997
10001,LAAA031-01,大同分局 寧夏路派出所,萬全街78號,東,121.51849789999999,25.058405699999998
10001,LAAA032-01,大同分局 寧夏路派出所,萬全街3巷1-18號,北,121.52008099999999,25.0594339
10001,LAAA033-01,大同分局 寧夏路派出所,承德路2段173號,東,121.518498,25.058741899999998
10001,LAAA034-01,大同分局 寧夏路派出所,民生西路95號,西,121.5192909,25.0575962
10001,LAAA035-01,大同分局 寧夏路派出所,錦西街38巷26-1號,南,121.52036059999999,25.059476099999998
10001,LAAA035-02,大同分局 寧夏路派出所,錦西街38巷18號,北,121.52031300000002,25.059675
10001,LAAA037-01,大同分局 寧夏路派出所,萬全街3巷1-16號,東,121.51976510000001,25.0585727
10001,LAAA039-01,大同分局 寧夏路派出所,民生西路&寧夏路45巷,東南,121.5156604,25.0572145
10001,LAAA039-02,大同分局 寧夏路派出所,民生西路&寧夏路45巷,北,121.51582919999998,25.0573597
10001,LAAA040-01,大同分局 寧夏路派出所,承德路2段159號,東南,121.51841599999999,25.058227
10001,LAAA041-01,大同分局 寧夏路派出所,歸綏街97巷37之1號,南,121.51582730000001,25.0596148
10001,LAAA042-01,大同分局 寧夏路派出所,寧夏路110號,南,121.51461119999998,25.0596335
10001,LAAA043-01,大同分局 寧夏路派出所,歸綏街171號,東北,121.5139022,25.058322399999998
10001,LAAA044-01,大同分局 寧夏路派出所,錦西街100號,東,121.5178937,25.0601324
